Description,Type
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Password reset, customer can now log in, Closing Call.

Customer Verified: Yes.",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Mailbox size decrease

Morning,

Following work to outlook yesterday, there seems to be changes to the mailbox size limits, both myself, Carolyn Bailey, Karen Lomas all had the message to advise that our mailbox was full, has the limit decreased with the changes? If so maybe advance warning could have been given in ordcer to clear down messages.

Many Thanks

Karen

Karen Ash
Customer Services Technical Officer
High Peak Borough Council and
Staffordshire Moorlands District Council
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Customers account was locked

Checked in AD however no fault found, closing call",Lockouts
"MS outlook 

Outlook is not updating emails since yesterday 
Tony has had this problem since he got the tablet 
Advised he's got around the issue by opening Chrome and checking their, then going back to outlook 
However to day chrome is showing EM""Problem with this sites website security""

Contact - 07790 60 67 68

",Others
"Cllr A Forrester - Mobile Phone Issue

Hi,

Councillor Arthur Forrester is not able to received emails via his Council mobile phone.  This has been passed to Dianne Fern of the on-site team.

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staffordshire Moorlands District Council
Email: linden.vernon@highpeak.gov.uk<mailto:linden.vernon@highpeak.gov.uk> or linden.vernon@staffsmoorlands.gov.uk<m",Others
"Self Service Machines

Samantha called to advise that the machine below wont connect, no icons appearing on the machine. It comes up with an error saying 'the session timed out - unable to connect to citrix'. Samantha has already tried rebooting the machine numerous times with no avail.

Asset: NPS05042 

Based at: Glossop

Telephone: 0845 129 7777 x3712

",Others
"Cllr Peter Roberts - Tablet Issue

Hi,

I?ve asked Cllr Peter Roberts to leave his tablet at Buxton reception (which he has done this morning) as he has some problems linking to his home wifi.  He has left a note with the error message that is displayed when trying to connect.

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staffordshire Moorlands District Council
Email: linden.vernon@highpeak",Others
"user getting error on outlook when attemting to send email via  gcsx account
""you do not have the permission to send the message on behalf of the specified user""
access permission missing from  exchange -  access granted and htc

",Others
"RE: Northgate Public Services Call : 3324646

Thanks for your assistance Reece
Regards
Christine

From: ps_servicedesk@northgateps.com [mailto:ps_servicedesk@northgateps.com]
Sent: 09 January 2018 12:06
To: Green, Christine
Subject: Northgate Public Services Call : 3324646


Email From Northgate Public Services



Call No: 3324646
Your Ref:

Description ****URGENT ****- Please pass to PARIS Support team

There are 149 declined transactions in the file submitted 3/1/2018 Plea",Others
"Trying to generate a report - SMDC ILAP

",Others
"Access request for scanning 

Advised of manager approval - Closing this call 

Contact - 01538 395 400 

",Others
"Mailbox crashing

Morning,

The following mailboxes are hanging / crashing this morning, this is preventing processing work please can this be investigated,

revenues@staffsmoorlands & revenues@highpeak
benefits@staffsmoorlands & benefits@highpeak

Thanks

Karen

Karen Ash
Customer Services Technical Officer
High Peak Borough Council and
Staffordshire Moorlands District Council
Tel: 01538 395400 ext 4018




________________________________
Do you really need to print out ",Others
"AD account unlock 

Unlocked and all ok - Closing  

",Others
"VDI TERMINAL NOT SHOWING LOGIN SCREEN 

remoted to machine and created new stal rds icon on desktop icon 
tested and htc",Others
"Outlook issue 

Outlook profile was not setup, desktop background and icons had changed, 
Logged off and back on, can now see usual desktop items  - Closing 

",Lockouts
"Issues with PARIS

",Others
"Outlook intermittantly crashing

",Others
"Display and Resolution Issue 

Currently set to 1280 *1024 at 60hz however Charmain advised the text is a lot smaller than colleagues with the same settings. 
Advised the second screen is also not working at all, blank. 
This is following on from call ref 153360 yesterday 

Contact - Ext 4518

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Monitor Issues 

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"[INCIDENT TITLE]
user attempting to sign in to vdi but getting  default ica and default rdp on boot up
to onsite to investigate

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"User was unable to print, and got a box prompting for password when accessing email

Password had expired 2 hours ago, adviswed full log off and back on to change password",Lockouts
"self serve computers

Leek one stop shop , passwords not working on either computer
Lyn

Customer Services

Tel: 0345 129 77 77
customer-services@highpeak.gov.uk<mailto:customer-services@highpeak.gov.uk<mailto:customer-services@highpeak.gov.uk%3cmailto:customer-services@highpeak.gov.uk>>
SMS Text Messaging: 07800 00 22 62



________________________________
",Lockouts
"Excel - Performance Issue

Sharon has called as her excel has all of sudden stopped working and crashed. Unable to load task manager due to being on a citrix box. 

Sharon advised that when she was in excel she received a load of random errors.

Sharon managed to close down excel and this seems to have gotten rid of the error messages. 

Sharon is happy for the call to be closed and will call back with any further issues.

01538 395400 x4246",Others
"unable to open email - showing as server unavalible 

user has signed out and back in but no change 

remoted to machine to invesitgate  - user opening icon but system then requests profile and then fails to load

",Others
"Outlook Issues - server unavailable

Michelle has called as she is unable to access outlook. Michelle advises that when she tries to open outlook, it hangs for a while then comes up with ""server is unavailable"". Michelle has advised that her colleague is having the same issue.

Asset number: SMDC0196

Based: Moorlands House

Telephone number: 01538 395400 x4100",Others
"[tina called to report that herself and her colleagues are unable to access outlook. Stuck on loading profile.]

",Others
"unable to open email - showing as server unavalible 

user has signed out and back in but no change 

remoted to machine to invesitgate  - user opening icon but system then requests profile and then fails to load

",Others
"[Unable to logon to machine, getting error'no logon servers to service the logon request']

",Others
"Issues printing

Advised of P2 - linked call",Others
"CALL REF. 153118

Contact tel. no. 4513

From: Parker, Nathan
Sent: 08 January 2018 11:07
To: Northgate ServiceDesk
Subject: iLap Land Charges
Importance: High

Hi

I am able to log onto iLap Land Charges (HPBC) however I get a disk error message, probably something to do with the mapping location but not sure. Could someone please sort this as soon as possible?

Kind Regards,

Nathan

Nathan| Apprentice at Staffordshire Moorlands District Council & High Peak Borough Council |D",Others
"Printing Issue

Jayne called as she is unable to print and that her printer is showing as offline. Attaching to P2.

Asset: HPBC5040

Telephone: 0345 1290 210 x5740",Others
"Printer Issue 

When sending a job to the printer nothing comes through 
Colleague is having the same issue 

Printer - MH-1FLR 2 and 1

Asset - PC 998
Contact - 01538 395400 x 4183
Location - Moorlands House

",Others
"GLOSSOP CAMERA

Hi Andrew

My webviewer for the Glossop Camera doesn?t seem to be working, could you have a look at it please>

http://10.3.30.5/webpages/webviewer.shtml

Thanks

Julie

Julie Wood
Customer Services Team Leader
High Peak Borough Council & Staffordshire Moorlands District Council

Tel. 0345 129 7777 Ext 5979
Mob. 07766 160456

Email. julie.wood@highpeak.gov.uk<mailto:julie.wood@highpeak.gov.uk>

[Ican logo for ppt]
www.highpeak.gov.uk<http://www.highpeak.gov.",Others
"Shift key stuck down

",Others
"[Printer reporting that it is not connected. Nobody else has an issue printing to the printer (pull)]

",Others
"Printing Issue

Jane has called as this printer is not working for anyone in the office. Advised that there have been issues with the printer server below. Advised by Simon that SMDC-PRINT-1 is now OFFLINE.

\\SMDC-PRINT-1\RICOHMPC3004\

Asset: HPBC5085

Telephone: 07881857737

",Others
"Security Certificate not available

PC1083

I have 4 certificates on my PC for DWP Data Hub. However, today only 3 are coming up as available for me to select. The PC has been rebooted twice without correcting this issue.



[cid:image001.png@01D3886D.5CD8A0F0]

Chris Foster
Benefits Technical Officer, Benefits Service
Staffordshire Moorlands District Council and High Peak Borough Council
PO Box 136, Buxton SK17 1AQ
T: 01538 395400 Ext 4081
Email: chris.foster@staffsmoorlands.gov.",Others
"printing problems

Hi

I am struggling to print from BX-1FLR-7 and BX-1FLR-Plotter at the  Buxton office, both printers are saying offline.

Thanks

Karen
Planning Support
Customer Services
Staffordshire Moorlands District Council and High Peak Borough Council
[Ican logo for ppt]
Planning@staffsmoorlands.gov.uk<mailto:Planning@staffsmoorlands.gov.uk>
Planning@highpeak.gov.uk<mailto:Planning@highpeak.gov.uk>
0345 605 3013



________________________________
Do you really need ",Others
"PRINTER HARDWARE ISSUE

Printer not working - system showing as offline

",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
"[Machine is reporting disk errors and running repairs, do this nearly everyday when people use the machine.

",Others
"Laptop Fault

Hi,

My laptop (HPBC 3263) seems to have developed a fault.  The fan inside seems to be having to work all the time and is quite noisy.  Can this be looked at please?

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staffordshire Moorlands District Council
Email: linden.vernon@highpeak.gov.uk<mailto:linden.vernon@highpeak.gov.uk> or linden.vernon@staffsmoorlands.gov.uk<mailto:lind",Others
"OHMS TO OPTI

Good morning

Lease can you check PTC as 2 jobs that have just been raised have not gone through to opti time
Jobs: 7818771,   7819252

Many thanks

Karen


Karen McCoy
Technical Support officer
High Peak Borough Council
tel 0345 129 8075
EX 6505
E:Karen.mccoy@highpeak.gov.uk




________________________________
",Others
"MS Outlook Issue 

Unable to send as on Duty Planners and Duty Planners (SM) mailboxes
Em""You do not have the permissions to send on behalf of the specified user""
This follows on from call ref 151255

Checked Exchange and this shows both full and send as permissions, restarts have not resolved. 

Contact - 01538 395 400 Ext 4986
Asset - n/a 
Location - Buxton Reception

",Others
"FW: PARIS End of Day Process

****URGENT ****- Please pass to PARIS Support team

There are 149 declined transactions in the file submitted 3/1/2018
Please will you check this and resubmit the payments to the Bank
Thank you
Christine

-----Original Message-----
From: admin-paris@highpeak.gov.uk [mailto:admin-paris@highpeak.gov.uk]
Sent: 03 January 2018 18:30
To: Green, Christine
Subject: PARIS End of Day Process

PARIS End of Day Process 03/01/2018 18:30:00
----------------------",Others
"Integra Core Processes stopped

A number of core processes are showing as stopped with reference to SQL Server Exception??.which may be down to work scheduled for the Network this weekend past?

Thanks

Stephen Robinson
Principal Finance Officer (Financial Reporting)
High Peak BC and Staffordshire Moorlands DC
Tel: (01538) 395400 xtn 4194 Fax: (01538) 395616
Email: stephen.robinson@staffsmoorlands.gov.uk<mailto:stephen.robinson@staffsmoorlands.gov.uk>",Others
"AD account unlock

account not locked, password expired - advised to change - Closing 

",Lockouts
"Customers account was locked. Unlocked account and customer can now access fine.

Based at Glossop.",Lockouts
"Unable to login 

""incorrect password""

Changed password and this resolved - Closing 


",Lockouts
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
"AD account issue 

Michelle was being prompted for a uid and pw when accessing the internet 
Checked AD and the account was locked, unlocked and all ok - Closing

",Lockouts
"[customer called to report he was not recieving emails and now they are.]

",Others
"[Unable to access shared drive on his desktop]

",Others
"Unable to log into desk phone

Laura has called as she has been given a new telephone login and password code, but it's not accepting it. Its saying it's invalid.

Extension trying to log into: 4986

Alternate contact number: X6133",Others
"printer keeps failing to print from  print queue 
looks to be  holding up all prints to this  device -  removal needed

unable to  remove  jam in  queue  - to onsite  support
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Add in error 

Dawn called as when she has tried to open Outlook she received an add in error.

I remoted onto the machine and confirmed with Dawn that she does not require that add in and I disabled it. Closed down outlook and re opened, issue resolved.",Others
"Morning 
I am currently sat in room 110 desk 9 and Donna Hudson is sat on desk 10.  Donnas connection has just been lost, this has happened various times on desk 10 last year and I think the wyse box etc has previously been replaced?  It took her back to the first connection screen, when she went to log back on it said - restore to previous session.  She is on server DT2.
",Others
"Since the updates to Outlook yesterday, I can no longer see the quota information. Ticking the ?quota information? (customize status bar) check box does not work, it still shows off.



Regards

Adrian Corbishley
Asset Programme Officer
Asset Management
Staffordshire Moorlands District Council and High Peak Borough Council
Tel: 01538 395 400 Ext. 4177
Email: adrian.corbishley@highpeak.gov.uk<mailto:adrian.corbishley@highpeak.gov.uk>



________________________________

Do you re",Others
"STEFAN CALLED WITH PASSED RESET REQUESTED
unable to log into  touchpad -  unlocked and reset AD password and accessed fine

Stefan called back with outlook on  touchpad not  sycning -  rebooted and tested again and htc",Others
"AD account locked out 

Unlocked and all ok- Closing 

",Lockouts
"[Trying to print but is getting an error saying that the toner is low. Has gave the tomer a shake and now is getting an error that the door is open when it isn't]

",Others
"Printer no registering - Angela Weate

Hi

Please could you assist; I?ve been having issues with the printer. For some reason the printer is not picking up anything that has been sent to the printer.

Kind regards,

Angela Weate
Customer Services / Planning Support
High Peak Borough Council & Staffordshire Moorlands District Council

[Ican logo for ppt]
www.highpeak.gov.uk<http://www.highpeak.gov.uk/>
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk/>


_____________",Others
"Email Address

I am trying to send an email to Stefan Cocker but get the following bounceback:


Delivery has failed to these recipients or distribution lists:

'Stefan Cocker'<mailto:IMCEAEX-_O%3DHPBC_OU%3DEXCHANGE%2B20ADMINISTRATIVE%2B20GROUP%2B20%2B28FYDIBOHF23SPDLT%2B29_CN%3DRECIPIENTS_CN%3DStefan%2B2ECocker@highpeak.gov.uk>
The recipient's e-mail address was not found in the recipient's e-mail system. Microsoft Exchange will not try to redeliver this message for you. Please check th",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"unable to access  intranet  - system asks for password but then loops and shows error message

[INCIDENT TITLE]

",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"Mobile phone

Hi

I?ve forgotten the numeric password for my mobile phone over the Xmas break. Could someone reset it please

Thanks

David

David G Smith
Principal Officer Communities and Partnerships
Democratic and Community Services
High Peak Borough Council and Staffordshire Moorlands District Council

01538 395400 (SMDC) 01298 28400  (HPBC) x4165

david.smith@highpeak.gov.uk<mailto:david.smith@highpeak.gov.uk> david.smith@staffsmoorlands.gov.uk<mailto:david.smith@staffsmoor",Lockouts
"RE: New mailbox and shared folder

Hi,

Please can I have an update on this service request?

Thanks

Mark James
Senior Regeneration Officer (Planning Policy)
High Peak Borough Council and Staffordshire Moorlands District Council

Mobile:07976753404

Email: mark.james@highpeak.gov.uk<mailto:mark.james@highpeak.gov.uk> or mark.james@staffsmoorlands.gov.uk<mailto:mark.james@staffsmoorlands.gov.uk>

www.highpeak.gov.uk<http://www.highpeak.gov.uk/>  www.staffsmoorlands.gov.uk<http://",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Stuck Session - SMDC Live

Description of Issues: Pradeep reports that his SMDC Live session is stuck in a loop and needs this terminating

Actions taken to Resolve: I remoted onto the server that Pradeep was logged onto (STAL-RDS-DT-3) then logged in with my STAL Account. I then went to TSADMIN. (Start>Run>tsadmin.msc). I then went into the processes tab and located Pradeeps processes. I looked for a process name 'prowin32.exe'. As there are 2 processes with that name for both SMDC and HPBC",Others
"[Scanner not wroking error '2147352567' cannot start Twain Object.]

",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"""Logon Attempt failed""

",Others
"Flexi sheet

Hi, my flexi sheet seems to have stopped adding time up, I always input 7:25 for each day at the start of the month (so I know where I am with my hours) but it seems to be fixed at that now for some reason ? yesterday and the day before were OK!?!, can you have a look at it for me please, thanks N

Nicola de Bruin
Solicitor,
High Peak Borough Council
Market Place
Buxton, Derbyshire
SK17 6EL
01298 28400 ext. 2065


________________________________
Do you really need to ",Others
"excel problems

Hi

Would it be possible to check my profile as when I am using excel it does not seem to work correctly. Chris Ditchfield has looked in to it for me and he thinks that some how mine is corrupt.
It is causing issues when I  am collating  the KPI?s

Many thanks

Karen


Karen McCoy
Technical Support officer
High Peak Borough Council
tel 0345 129 8075
EX 6505
E:Karen.mccoy@highpeak.gov.uk




________________________________
Do you really need to print out th",Others
"A folder called Fernydale Ave

Hi Northgate

I am trying to find a folder called Fernydale Ave It was on the drive below the other day and I could not find it yesterday.  I have completed a search for it but can not find it .  Would you be able to check if I have deleted it by mistake it has playground inspections in it?

It is  on ICT file-1 J /   Leisure  / Playgrounds 2015 onwards/  HPBC sites

thanks
M Jayne Woolliscroft
Technical Support Officer ? Operational Services
Staffordshi",Others
"URGENT - Email Issues.

",Others
"AD account unlock 

Unlocked and reset - Closing 

",Others
"The Leader - Urgent

As a matter of urgency (required this morning) ? could one of the Northgate team please call me re the SMDC Leader?s Outlook settings?

Thank you

Alison



Alison Fynney ? Executive Assistant
Chief Executive?s Office
Staffordshire Moorlands District Council ? DD 01538 395654
High Peak Borough Council ? DD 01298 28406
Email : alison.fynney@staffsmoorlands.gov.uk<mailto:alison.fynney@staffsmoorlands.gov.uk> or alison.fynney@highpeak.gov.uk<mailto:alison.fynney@h",Others
"Civica Open revenues and Risk Based verification

Can you advise if our link from the Civica system through to Call Credit is working correctly.

This afternoon we have had difficulty getting a risk score.

Call Credit advise that everything is ok at their and suggest that it may be something connected to internet access.  Can you advise if there have been any problems.

Thanks

Jo

Mrs J Duxbury
Benefit Techinical Officer
High Peak Borough Council & Staffordshire Moorlands Distric",Others
"FW: FW: Brown Edge Road - Deed of Variation

Hi
I?ve just been trying to deliver an e-mail and attachments to DCC but have got this ? are you able to help please?

Julie

Julie Smith
Chartered Legal Executive
Tel:  0345 129 7777 ext 2154


From: postmaster@derbyshirecountycouncil.onmicrosoft.com [mailto:postmaster@derbyshirecountycouncil.onmicrosoft.com]
Sent: 03 January 2018 15:59
To: Smith, Julie
Subject: Undeliverable: FW: Brown Edge Road - Deed of Variation


Delivery has f",Others
"Windows password Reset 

Unlocked and reset - Closing 

",Lockouts
"Tablet unable to connect to Wifi

Jacqui has called as she has a tablet that wont connect to the Wifi. Jacqui has advised that Dianne Fern is currently looking into this.

Telephone: 01538 395470",Others
"SMDC Councillor Andrew Hart

Could I log a call on behalf of the above please?

Cllr. Hart is experiencing difficulties with his SMDC Emails and would like you to contact him to discuss this please.

His telephone numbers are ? Landline ? 01782 379431 or Mobile ? 07792 101856.

Thank you,

Pat Trafford
Member & Democratic Services Officer
Staffordshire Moorlands District Council and High Peak Borough Council
Tel. 01538 395551. Internal extension 5551


___________________________",Others
"Voicemail button on phone

The voicemail button on my phone continues to flash when there are no new messages.  This fault has been ongoing for some time now, please can this call be passed to Chris Cooke in the onsite team.

Thanks

Jenny Atherton
PA to Executive Director and Monitoring Officer
High Peak BC & Staffordshire Moorlands DC
Tel:  01538 395623
",Others
"Outlook not appearing on the screen

Outlook appeared to be opening off-screen. While taking details, caller closed and reopened and this time it worked successfully.",Others
"Print issue 

When printng is being prompted for a uid and password 
Enters her uid and password for windows and it's not accepted. 
the account is not locked nor is the password expired 
Has never used a pin or password for this printer previously. 

Printer - CorpDIR_MPC3500 on PR101 on SMDC-Print
Contact - 01538 395400 X5534

",Others
"Unable to Log onto Alliance Online

Hi

Unable to Log onto online alliance webpage. I may have the correct credentials?

Kind Regards,

Nathan

Nathan| Apprentice at Staffordshire Moorlands District Council & High Peak Borough Council |Department of Environmental Health, & Central Administration| ? 01538 395400 ext 4534 Normal working days Monday, Wednesday, Thursday and Friday. Email: Nathan.parker@highpeak.gov.uk<mailto:Nathan.parker@highpeak.gov.uk>


____________________________",Others
"Password to be synced

Jane has called as she is usually a home worker, but was working in the office over christmas and was prompted to change her password.

Jane has advised that her password for home working is not synced with the one she uses for work.

I advised if she logs in with her old password on her homeworking laptop, then she will be able to get connected to the network and reset the password.

I advised Jane I would keep the call open and with the onsite guys until this has",Lockouts
"Reset password - no network 

Unlocked and reset however still uinable to login 
shows Em""Login attempt failed"" 
has tried around 5 times, the account is not locking
Telephone works and cables are securely attached 

Contact - 4246

Fault / Steps Taken: As above 

",Others
"UNABLE TO LOGIN TO REMOTE GATEWAY (GATEWAY.HIGHPEAK.GOV.UK)
""showing password expired - contact admin""

",Lockouts
"Ad account lockout 

Unlocked and all ok - CLosing 

",Lockouts
"Password reset, customer can now log in

Customer Verified: Yes
Closing Call",Lockouts
"Viewing PDF's

I am trying to view PDF Bulletins sent from Civica and I?ve done something to my Adobe Reader which means I?m now getting the message below and I don?t know how to resolve it.



[cid:image001.png@01D383E4.9F02CF60]




Mrs D Broad
Income Technical Officer
Staffordshire Moorlands District Council & High Peak Borough Council
Tel: 01538 395400 Ext 4065
Email: debbie.broad@staffsmoorlands.gov.uk


________________________________
Do you really need to print out thi",Others
"Apple ID restricted

I have received an email saying my Apple ID has been restricted on debbie.broad@staffsmoorlands.gov.uk<mailto:debbie.broad@staffsmoorlands.gov.uk>

So you need to see the email or should I just delete it.

Mrs D Broad
Income Technical Officer
Staffordshire Moorlands District Council & High Peak Borough Council
Tel: 01538 395400 Ext 4065
Email: debbie.broad@staffsmoorlands.gov.uk


________________________________
",Others
"Mobile phone

Hi

Frank Peach?s mobile phone is not recognising the sim card, the phone appears to be working, it slid out of his pocket in to a gutter, so got wet, may require new sim card.

Regards

Richard

Richard Howard
High Peak Borough Council
Geographic and Specialist Team Leader
Operational Services
Tel: 0345 129 8075  Ext: 6506


________________________________
",Others
"New User 

Account password reset 
Reset password and Laura could access - Closing 

",Lockouts
"Council Tax mailins IBS stuck SMDC


Hi

The  SMDC  Council Tax mailins for the following email box are stuck from the  22.12.17 if they can be released please.

CRM.CTax@staffsmoorlands.gov.uk<mailto:CRM.CTax@staffsmoorlands.gov.uk>

Normally Andrew Hopkins deals with this for us.

Thanks

Jane

Jane Sargeant
Customer Services Technical Officer
High Peak Borough Council and
Staffordshire Moorlands District Council
Tel: 01538 395462",Others
"[Terminal server session has hung]

",Others
"Calendar - not syncing

Morning

Please can I log a job for Rob Clowes as his calendar is not syncing on his mobile.  He is inputting the appointments on his calendar on his mobile but they are not showing on his outlook calendar ? this is causing issues as the appointment slot looks free to customer services advisors/the office when they have been booked via Rob.

Mobile is giving the following error on his screen ?

Something went wrong
We can?t sync webmail.highpeak.gov.uk at the mom",Others
"Please can you re-set Vanessa Higgins password, she is working remotely and can not access her emails. Please can you contact her directly on 07580972823
",Lockouts
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Planning Admin Pc

Good Morning

I am trying to log onto the Pc in the Planning Admin Office so that I can log on to the Map Info application, however I keep getting an error message when I log on which states There are currently no log on servers available to service the log on request.

Please will you deal with the request asap as I need to print off some maps that a customer has been waiting and paid for but not received.

Thanks

Jayne
Planning Support
Ext 5951

______________",Others
"Please can my tablet be looked at, further to the last order I logged 137657 my tablet keeps freezing.  When I re-start my tablet (I have to do this each time for it to connect to wifi) CTRL ALT DEL then has a delayed response/minutes before giving me the log in screen
",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"FW: URGENT - Revert Arba failed at the weekend

Hi

FAO Andrew Hopkins.

Revert Arba has failed on PTC over the weekend.  Please can it be run again today, as the Arba is due to run tonight.

Thanks

Rachel Newsam

Rachel Newsam
Income Team Leader
High Peak Borough Council
Tel: 0345 1298075  ext 3829

From: Simon Berriman [mailto:simon.berriman@northgateps.com]
Sent: 02 January 2018 09:36
To: Newsam, Rachel; Hopkins, Andrew
Subject: Re: URGENT - Revert Arba failed at the week",Others
"Printer Issues.

",Others
"Password reset, customer can now log in, Closing Call. 

Customer Verified: Yes.",Lockouts
"VDI  TERMINAL ISSUE

system failing to  power on  monitor, keyboard and mouse

to onsite

",Others
"Ad account unlock

unlocked and reset - Closing 

",Lockouts
"vdi unit failing to boot

",Others
"AD account unlock 

Username - Call Centre 
Checked account and it was not showing as locked. 
Reset password and all ok - Closing 

Todays details
== 
Location - Glossop 
Ext - 2147
==

",Lockouts
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"Email Archive access

Hello

Can you please help?  I am not sure why I am unable to access the below email archive can you please advise?

Many Thanks


Donna Hudson

Procurement Officer I Finance and Procurement team
Tel: 0345 129 8075 ext 4242
E:   Donna.hudson@highpeak.gov.uk<mailto:Donna.hudson@highpeak.gov.uk>

High Peak Borough Council & Staffordshire Moorlands District Council

www.highpeak.gov.uk<http://www.highpeak.gov.uk/> l www.staffsmoorlands.gov.uk<http://www.staffs",Others
"Access to file location

As I am currently auditing Data Protection, please could you give me access to all files and folders within the following location:

·         Staf-File-1/Data/Democratic and Community Services/Data Protection

Thanks

Craig Copeland
Senior Auditor
Staffordshire Moorlands District Council & High Peak Borough Council
Tel : 01538 395695 (Internal Ext: 4096).
E-mail : craig.copeland@staffsmoorlands.gov.uk<mailto:craig.copeland@staffsmoorlands.gov.uk>


______",Others
"[christine has deleted a spreadsheet from \\ict-file-1\pavg\octcat\event chris\exhibitors 2017\ ]

",Others
"FW: Northgate Public Services Customer Survey for Call 3296680

FAO Mark Broadbridge

Hi Mark

Many thanks for sending your previous response to this and your on-going help.

Final question ? We’ve received the following message when sending this through and I wondered if you could see why this might be as we are trying to bypass the basket?

What we sent
From sending this following request.

https://secure.highpeak.gov.uk/paymentstest/sales/LaunchInternet.aspx?returnURL=https://www",Others
"FW: Setting Debby up

Hi Guys

Re reference number 142764

I would be grateful if you could provide Debber Pepper with access to the Season Tickets mail box.

Many thanks

Terry Crawford
Visitor Services Manager
High Peak Borough Council and Staffordshire Moorlands District Council

Pavilion Gardens
St John's Road
Buxton
Derbyshire
SK17 6BE

Tel - 01298 23114   Internal Extension - 4224
Mobile – 07810 552464

Email
terry.crawford@highpeak.gov.uk<mailto:terry.crawford@high",Others
"[Unable to access outlook.]

",Others
"Access Denied to Annual Leave system

I’m unable to access to Annual leave system, can you look at my settings please?

Thanks

Clare
",Others
"[di called to report all her shared drives have vanished]

",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"planning Portal

Hi

I cannot access the planning portal is this not working at the moment?

Thanks

Jane Wood
Income Officer, Income Team
High Peak Borough Council & Staffordshire Moorlands District Council
Tel 0345 129 7777 Ext 4537
Jane.wood@highpeak.gov.uk<mailto:Jane.wood@highpeak.gov.uk>
www.highpeak.gov.uk<http://www.highpeak.gov.uk/> www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk/>


________________________________
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [29/11/2017 21:30:15] -  Logical Disk Y: 99 Percent, 953700 Kbytes Free, 299592294 KBytes Used, 300545994 Total KBytes :

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"SMDC ILAP  SMD/2017/0745 - Woodlands View

Good Afternoon

I am trying to print off notification letters for the above application number.

The system is not allowing me to always merge and edit, and then when it does finally merge and edit the information,  the system will not allow me to print off anything without the system crashing.

Please will you check asap as need to post out / email  information to neighbours, members etc.

I am on a dual screen PC – wyse box HJPBC3389

Kind",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Account locked out

Hi – my account has been locked out – please could it be reset asap.

Thanks. Rachel

Rachel Rourke
Member & Democratic Services Officer
High Peak Borough Council
Tel: 0345 129 7777 ex. 2139
(Hours of work: Mon – Fri until 3.15 p.m.)


________________________________
",Others
"Liam called for a pin reset on his mobile. I tried to reset, but would not work as he is not connected to any wifi.
Liam advised he would call back tomorrow, when he can connect to wifi.

Lumia 550",Others
"Re: Access to R Drive

Once again agreed,

Keith

Sent from my iPhone

On 29 Nov 2017, at 15:51, Stock, David <David.Stock@highpeak.gov.uk<mailto:David.Stock@highpeak.gov.uk>> wrote:

Dear Northgate
Would you be kind enough to provide access to the “R” Drive for myself and some of my team members to include;
Sally Curly.
Gareth Knapper.

Reason for needing access to this drive is to enable sight of planning application documentation as the team are consultees to planning applicati",Others
"PC Issues. 

",Lockouts
"Password reset, customer can now log in. Customer Verified: Yes.
Closing Call",Lockouts
"Unable to access Alliance Online 

Clicks on HR section and gets IE content blocked. 
This happens when using IE 
When using chrome it states the site must be accessed with IE 

Contact - none please email 
Asset - 5096
Location - Buxton

",Others
